epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
132,44888.2,0.85887,1.62625,1.37642,0.56762,0.60359,0.61738,0.47758,0.79522,1.32456,1.40025,0.0035155,0.0035155,0.0035155
133,45233.2,0.85645,1.63181,1.37111,0.56972,0.59811,0.61668,0.4788,0.79398,1.32197,1.39849,0.003466,0.003466,0.003466
134,45578.3,0.85607,1.61926,1.36949,0.56772,0.6059,0.61756,0.48001,0.79393,1.32025,1.39831,0.0034165,0.0034165,0.0034165
135,45920.2,0.84975,1.61172,1.36846,0.56549,0.60764,0.6177,0.48022,0.79273,1.32035,1.39665,0.003367,0.003367,0.003367
136,46266.9,0.8556,1.61519,1.36935,0.56876,0.60323,0.61913,0.48183,0.792,1.31835,1.39604,0.0033175,0.0033175,0.0033175
137,46614.6,0.85178,1.61639,1.36526,0.56936,0.6003,0.61976,0.48296,0.79091,1.31648,1.39496,0.003268,0.003268,0.003268
138,46960.5,0.84864,1.60941,1.36809,0.57022,0.60588,0.62041,0.48349,0.79081,1.31416,1.3948,0.0032185,0.0032185,0.0032185
139,47308.1,0.84954,1.60151,1.36948,0.56959,0.60222,0.6211,0.48406,0.79016,1.31266,1.39397,0.003169,0.003169,0.003169
140,47656.2,0.84685,1.60193,1.36701,0.5708,0.60257,0.62122,0.48485,0.78928,1.31115,1.39345,0.0031195,0.0031195,0.0031195
141,48002.1,0.84227,1.59485,1.36171,0.57493,0.60328,0.62265,0.48511,0.78872,1.3107,1.39263,0.00307,0.00307,0.00307
142,48351.2,0.8415,1.59054,1.35937,0.57934,0.60181,0.62441,0.48631,0.78859,1.30825,1.39219,0.0030205,0.0030205,0.0030205
143,48699.5,0.84135,1.5736,1.36087,0.57756,0.60136,0.62521,0.48758,0.7879,1.30765,1.39162,0.002971,0.002971,0.002971
144,49047.2,0.84864,1.59316,1.36604,0.57863,0.6014,0.62521,0.48747,0.78791,1.30751,1.39127,0.0029215,0.0029215,0.0029215
145,49397.5,0.83777,1.57615,1.35814,0.58754,0.60067,0.62702,0.48896,0.78817,1.30499,1.39152,0.002872,0.002872,0.002872
146,49746.8,0.84422,1.57196,1.36239,0.5908,0.60246,0.62824,0.48988,0.78659,1.30217,1.38971,0.0028225,0.0028225,0.0028225
147,50093.6,0.83329,1.56452,1.35483,0.59245,0.60379,0.62936,0.49093,0.7863,1.29876,1.38904,0.002773,0.002773,0.002773
